J2,J1,AllIssues_Total_Freq,AllIssues_Case_Opps,Total_Freq,Case_Opps,Year,J1name,J1Prez,J1PrezParty,J1party,J2name,J2Prez,J2PrezParty,J2party,J_id,G1,G2,ColorValue,Topic
98,95,160,228,34,50,1973,BRWhite,Kennedy,D,D,TMarshall,LBJ,D,D,95_98,1,2,1,Civil Rights
110,105,81,124,14,26,1997,AScalia,Reagan,R,R,SGBreyer,Clinton,D,D,105_110,1,1,0,Civil Rights
87,79,112,133,16,17,1950,SFReed,FDR,D,D,FMVinson,Truman,D,D,79_87,1,1,1,Civil Rights
109,106,87,107,16,17,1993,AMKennedy,Reagan,R,R,RBGinsburg,Clinton,D,D,106_109,1,1,0,Civil Rights
88,86,3,4,3,3,1958,HHBurton,Truman,D,R,TCClark,Truman,D,D,86_88,1,2,1,Civil Rights
99,92,101,178,22,34,1970,WJBrennan,Eisenhower,R,D,WEBurger,Nixon,R,R,92_99,1,1,-1,Civil Rights
108,103,64,127,14,20,1991,JPStevens,Ford,R,R,CThomas,Bush,R,R,103_108,1,1,-1,Civil Rights
105,100,130,197,20,32,1987,HABlackmun,Nixon,R,R,AScalia,Reagan,R,R,100_105,1,1,-1,Civil Rights
91,90,115,178,16,34,1968,EWarren,Eisenhower,R,R,JHarlan2,Eisenhower,R,R,90_91,1,1,-1,Civil Rights
109,103,88,105,12,17,1999,JPStevens,Ford,R,R,RBGinsburg,Clinton,D,D,103_109,1,1,0,Civil Rights
106,105,95,112,27,29,1998,AScalia,Reagan,R,R,AMKennedy,Reagan,R,R,105_106,1,1,-1,Civil Rights
110,106,64,95,8,12,2003,AMKennedy,Reagan,R,R,SGBreyer,Clinton,D,D,106_110,2,1,0,Civil Rights
104,98,113,190,20,26,1984,TMarshall,LBJ,D,D,SDOConnor,Reagan,R,R,98_104,1,1,0,Civil Rights
104,102,114,152,21,27,1991,WHRehnquist,Nixon,R,R,SDOConnor,Reagan,R,R,102_104,1,1,-1,Civil Rights
97,95,161,229,24,33,1967,BRWhite,Kennedy,D,D,AFortas,LBJ,D,D,95_97,1,1,1,Civil Rights
97,88,110,165,21,28,1966,TCClark,Truman,D,D,AFortas,LBJ,D,D,88_97,1,1,1,Civil Rights
109,102,61,97,10,13,2003,WHRehnquist,Nixon,R,R,RBGinsburg,Clinton,D,D,102_109,2,1,0,Civil Rights
84,81,80,142,11,22,1947,WODouglas,FDR,D,D,RHJackson,FDR,D,D,81_84,2,1,1,Civil Rights
91,88,76,110,18,20,1955,TCClark,Truman,D,D,JHarlan2,Eisenhower,R,R,88_91,1,1,0,Civil Rights
87,86,126,152,21,24,1947,HHBurton,Truman,D,R,FMVinson,Truman,D,D,86_87,1,1,1,Civil Rights
91,79,40,54,1,2,1956,SFReed,FDR,D,D,JHarlan2,Eisenhower,R,R,79_91,1,1,0,Civil Rights
91,78,139,232,18,33,1967,HLBlack,FDR,D,D,JHarlan2,Eisenhower,R,R,78_91,1,1,0,Civil Rights
109,108,48,85,9,18,2011,CThomas,Bush,R,R,RBGinsburg,Clinton,D,D,108_109,1,1,0,Civil Rights
112,106,59,77,12,14,2007,AMKennedy,Reagan,R,R,SAAlito,WBush,R,R,106_112,2,2,-1,Civil Rights
110,106,73,92,12,15,2004,AMKennedy,Reagan,R,R,SGBreyer,Clinton,D,D,106_110,1,1,0,Civil Rights
91,81,67,112,11,20,1955,WODouglas,FDR,D,D,JHarlan2,Eisenhower,R,R,81_91,1,1,0,Civil Rights
102,92,121,200,16,39,1974,WJBrennan,Eisenhower,R,D,WHRehnquist,Nixon,R,R,92_102,1,1,-1,Civil Rights
104,98,120,215,18,36,1985,TMarshall,LBJ,D,D,SDOConnor,Reagan,R,R,98_104,2,1,0,Civil Rights
100,92,174,214,31,36,1985,WJBrennan,Eisenhower,R,D,HABlackmun,Nixon,R,R,92_100,2,2,-1,Civil Rights
102,95,164,201,24,39,1974,BRWhite,Kennedy,D,D,WHRehnquist,Nixon,R,R,95_102,1,1,0,Civil Rights
110,105,42,75,4,14,2007,AScalia,Reagan,R,R,SGBreyer,Clinton,D,D,105_110,2,1,0,Civil Rights
108,107,68,107,13,17,1993,DHSouter,Bush,R,R,CThomas,Bush,R,R,107_108,1,1,-1,Civil Rights
100,92,92,145,23,32,1977,WJBrennan,Eisenhower,R,D,HABlackmun,Nixon,R,R,92_100,1,1,-1,Civil Rights
108,102,134,147,23,25,1992,WHRehnquist,Nixon,R,R,CThomas,Bush,R,R,102_108,1,1,-1,Civil Rights
84,79,98,133,11,16,1950,SFReed,FDR,D,D,RHJackson,FDR,D,D,79_84,1,1,1,Civil Rights
106,104,78,96,10,13,2003,SDOConnor,Reagan,R,R,AMKennedy,Reagan,R,R,104_106,2,2,-1,Civil Rights
106,105,88,110,16,21,2000,AScalia,Reagan,R,R,AMKennedy,Reagan,R,R,105_106,2,2,-1,Civil Rights
104,101,172,198,29,33,1982,LFPowell,Nixon,R,D,SDOConnor,Reagan,R,R,101_104,1,1,-1,Civil Rights
95,92,136,215,28,36,1983,WJBrennan,Eisenhower,R,D,BRWhite,Kennedy,D,D,92_95,1,1,0,Civil Rights
92,91,92,136,13,17,1956,JHarlan2,Eisenhower,R,R,WJBrennan,Eisenhower,R,D,91_92,1,2,-1,Civil Rights
95,80,0,0,0,0,1961,FFrankfurter,FDR,D,I,BRWhite,Kennedy,D,D,80_95,1,1,1,Civil Rights
86,81,64,115,8,14,1954,WODouglas,FDR,D,D,HHBurton,Truman,D,R,81_86,1,1,1,Civil Rights
102,99,168,191,36,38,1980,WEBurger,Nixon,R,R,WHRehnquist,Nixon,R,R,99_102,1,1,-1,Civil Rights
114,108,50,85,4,11,2012,CThomas,Bush,R,R,EKagan,Obama,D,D,108_114,1,2,0,Civil Rights
114,112,61,81,7,9,2013,SAAlito,WBush,R,R,EKagan,Obama,D,D,112_114,1,1,0,Civil Rights
104,102,198,240,25,32,1986,WHRehnquist,Nixon,R,R,SDOConnor,Reagan,R,R,102_104,1,1,-1,Civil Rights
109,107,100,111,18,18,1995,DHSouter,Bush,R,R,RBGinsburg,Clinton,D,D,107_109,1,1,0,Civil Rights
95,78,119,166,16,24,1965,HLBlack,FDR,D,D,BRWhite,Kennedy,D,D,78_95,1,1,1,Civil Rights
99,92,125,233,26,53,1973,WJBrennan,Eisenhower,R,D,WEBurger,Nixon,R,R,92_99,2,1,-1,Civil Rights
113,109,80,94,12,16,2010,RBGinsburg,Clinton,D,D,SSotomayor,Obama,D,I,109_113,2,2,1,Civil Rights
84,80,96,134,15,16,1950,FFrankfurter,FDR,D,I,RHJackson,FDR,D,D,80_84,1,1,1,Civil Rights
106,104,73,92,13,15,2004,SDOConnor,Reagan,R,R,AMKennedy,Reagan,R,R,104_106,1,1,-1,Civil Rights
97,91,67,100,8,19,1968,JHarlan2,Eisenhower,R,R,AFortas,LBJ,D,D,91_97,1,1,0,Civil Rights
89,81,68,146,9,16,1952,WODouglas,FDR,D,D,SMinton,Truman,D,D,81_89,2,1,1,Civil Rights
104,101,185,218,33,34,1983,LFPowell,Nixon,R,D,SDOConnor,Reagan,R,R,101_104,1,1,-1,Civil Rights
86,79,100,124,9,11,1949,SFReed,FDR,D,D,HHBurton,Truman,D,R,79_86,1,1,1,Civil Rights
96,78,107,156,26,31,1964,HLBlack,FDR,D,D,AJGoldberg,Kennedy,D,D,78_96,1,1,1,Civil Rights
109,103,94,109,22,24,2002,JPStevens,Ford,R,R,RBGinsburg,Clinton,D,D,103_109,1,1,0,Civil Rights
107,105,57,105,13,17,1999,AScalia,Reagan,R,R,DHSouter,Bush,R,R,105_107,2,1,-1,Civil Rights
107,106,72,93,11,13,2005,AMKennedy,Reagan,R,R,DHSouter,Bush,R,R,106_107,1,1,-1,Civil Rights
109,107,80,92,15,15,2004,DHSouter,Bush,R,R,RBGinsburg,Clinton,D,D,107_109,1,1,0,Civil Rights
104,92,115,196,20,26,1984,WJBrennan,Eisenhower,R,D,SDOConnor,Reagan,R,R,92_104,1,1,-1,Civil Rights
104,103,69,108,11,18,1995,JPStevens,Ford,R,R,SDOConnor,Reagan,R,R,103_104,1,1,-1,Civil Rights
95,94,185,228,34,42,1971,PStewart,Eisenhower,R,R,BRWhite,Kennedy,D,D,94_95,2,2,0,Civil Rights
90,80,91,128,21,22,1955,FFrankfurter,FDR,D,I,EWarren,Eisenhower,R,R,80_90,1,1,0,Civil Rights
112,107,29,45,6,8,2005,DHSouter,Bush,R,R,SAAlito,WBush,R,R,107_112,1,1,-1,Civil Rights
104,98,111,199,19,34,1987,TMarshall,LBJ,D,D,SDOConnor,Reagan,R,R,98_104,1,1,0,Civil Rights
96,81,183,212,51,52,1963,WODouglas,FDR,D,D,AJGoldberg,Kennedy,D,D,81_96,1,1,1,Civil Rights
95,92,118,215,21,36,1985,WJBrennan,Eisenhower,R,D,BRWhite,Kennedy,D,D,92_95,2,1,0,Civil Rights
88,80,86,146,13,17,1956,FFrankfurter,FDR,D,I,TCClark,Truman,D,D,80_88,1,1,1,Civil Rights
97,78,103,148,11,21,1965,HLBlack,FDR,D,D,AFortas,LBJ,D,D,78_97,1,1,1,Civil Rights
109,106,73,93,11,13,2005,AMKennedy,Reagan,R,R,RBGinsburg,Clinton,D,D,106_109,1,1,0,Civil Rights
109,103,91,97,13,13,2003,JPStevens,Ford,R,R,RBGinsburg,Clinton,D,D,103_109,1,1,0,Civil Rights
108,106,65,92,9,15,2004,AMKennedy,Reagan,R,R,CThomas,Bush,R,R,106_108,1,1,-1,Civil Rights
99,94,154,204,21,36,1979,PStewart,Eisenhower,R,R,WEBurger,Nixon,R,R,94_99,1,1,-1,Civil Rights
102,98,82,182,0,12,1989,TMarshall,LBJ,D,D,WHRehnquist,Nixon,R,R,98_102,2,1,0,Civil Rights
100,98,188,238,27,31,1986,TMarshall,LBJ,D,D,HABlackmun,Nixon,R,R,98_100,2,2,0,Civil Rights
103,102,63,110,12,23,1996,WHRehnquist,Nixon,R,R,JPStevens,Ford,R,R,102_103,1,1,-1,Civil Rights
111,106,53,77,9,15,2014,AMKennedy,Reagan,R,R,JGRoberts,WBush,R,R,106_111,1,2,-1,Civil Rights
105,103,66,108,8,11,2009,JPStevens,Ford,R,R,AScalia,Reagan,R,R,103_105,1,2,-1,Civil Rights
87,81,65,136,7,16,1951,WODouglas,FDR,D,D,FMVinson,Truman,D,D,81_87,1,1,1,Civil Rights
91,88,137,163,11,13,1958,TCClark,Truman,D,D,JHarlan2,Eisenhower,R,R,88_91,2,2,0,Civil Rights
90,86,105,189,11,19,1957,HHBurton,Truman,D,R,EWarren,Eisenhower,R,R,86_90,1,2,0,Civil Rights
106,105,81,95,11,12,2003,AScalia,Reagan,R,R,AMKennedy,Reagan,R,R,105_106,2,2,-1,Civil Rights
95,92,114,240,12,33,1986,WJBrennan,Eisenhower,R,D,BRWhite,Kennedy,D,D,92_95,2,1,0,Civil Rights
110,106,66,94,19,25,2008,AMKennedy,Reagan,R,R,SGBreyer,Clinton,D,D,106_110,1,2,0,Civil Rights
90,78,187,208,34,34,1962,HLBlack,FDR,D,D,EWarren,Eisenhower,R,R,78_90,1,1,0,Civil Rights
102,98,102,201,10,31,1982,TMarshall,LBJ,D,D,WHRehnquist,Nixon,R,R,98_102,1,1,0,Civil Rights
109,103,76,92,14,15,2004,JPStevens,Ford,R,R,RBGinsburg,Clinton,D,D,103_109,1,1,0,Civil Rights
80,79,76,119,4,14,1954,SFReed,FDR,D,D,FFrankfurter,FDR,D,I,79_80,1,1,1,Civil Rights
96,91,124,205,13,34,1962,JHarlan2,Eisenhower,R,R,AJGoldberg,Kennedy,D,D,91_96,1,1,0,Civil Rights
100,92,161,211,38,49,1981,WJBrennan,Eisenhower,R,D,HABlackmun,Nixon,R,R,92_100,1,1,-1,Civil Rights
84,78,88,171,6,14,1948,HLBlack,FDR,D,D,RHJackson,FDR,D,D,78_84,2,1,1,Civil Rights
88,80,77,114,9,14,1950,FFrankfurter,FDR,D,I,TCClark,Truman,D,D,80_88,1,1,1,Civil Rights
109,105,51,95,9,15,2001,AScalia,Reagan,R,R,RBGinsburg,Clinton,D,D,105_109,2,1,0,Civil Rights
97,81,126,154,20,21,1965,WODouglas,FDR,D,D,AFortas,LBJ,D,D,81_97,1,1,1,Civil Rights
88,80,118,152,10,12,1958,FFrankfurter,FDR,D,I,TCClark,Truman,D,D,80_88,2,2,1,Civil Rights
110,106,78,110,10,12,2009,AMKennedy,Reagan,R,R,SGBreyer,Clinton,D,D,106_110,2,1,0,Civil Rights
110,105,53,87,7,12,2012,AScalia,Reagan,R,R,SGBreyer,Clinton,D,D,105_110,1,2,0,Civil Rights
111,103,47,94,15,25,2008,JPStevens,Ford,R,R,JGRoberts,WBush,R,R,103_111,2,1,-1,Civil Rights
95,92,137,200,19,34,1987,WJBrennan,Eisenhower,R,D,BRWhite,Kennedy,D,D,92_95,1,1,0,Civil Rights
94,92,138,200,23,39,1974,WJBrennan,Eisenhower,R,D,PStewart,Eisenhower,R,R,92_94,1,1,-1,Civil Rights
108,105,109,110,21,21,2000,AScalia,Reagan,R,R,CThomas,Bush,R,R,105_108,2,2,-1,Civil Rights
91,81,77,152,9,17,1961,WODouglas,FDR,D,D,JHarlan2,Eisenhower,R,R,81_91,1,1,0,Civil Rights
111,108,78,93,21,25,2008,CThomas,Bush,R,R,JGRoberts,WBush,R,R,108_111,1,1,-1,Civil Rights
114,111,50,77,8,15,2014,JGRoberts,WBush,R,R,EKagan,Obama,D,D,111_114,2,1,0,Civil Rights
96,91,100,212,12,50,1963,JHarlan2,Eisenhower,R,R,AJGoldberg,Kennedy,D,D,91_96,1,1,0,Civil Rights
98,94,116,152,22,34,1969,PStewart,Eisenhower,R,R,TMarshall,LBJ,D,D,94_98,1,1,0,Civil Rights
102,100,119,216,14,36,1985,HABlackmun,Nixon,R,R,WHRehnquist,Nixon,R,R,100_102,2,1,-1,Civil Rights
94,80,126,164,15,19,1959,FFrankfurter,FDR,D,I,PStewart,Eisenhower,R,R,80_94,1,1,0,Civil Rights
86,82,120,180,3,9,1946,FMurphy,FDR,D,D,HHBurton,Truman,D,R,82_86,1,1,1,Civil Rights
91,80,141,165,18,19,1959,FFrankfurter,FDR,D,I,JHarlan2,Eisenhower,R,R,80_91,1,1,0,Civil Rights
107,102,80,111,12,18,1995,WHRehnquist,Nixon,R,R,DHSouter,Bush,R,R,102_107,1,1,-1,Civil Rights
107,103,108,147,16,25,1992,JPStevens,Ford,R,R,DHSouter,Bush,R,R,103_107,1,1,-1,Civil Rights
110,105,63,82,8,10,2013,AScalia,Reagan,R,R,SGBreyer,Clinton,D,D,105_110,1,1,0,Civil Rights
81,78,114,171,20,39,1969,HLBlack,FDR,D,D,WODouglas,FDR,D,D,78_81,1,1,1,Civil Rights
89,80,85,119,5,14,1954,FFrankfurter,FDR,D,I,SMinton,Truman,D,D,80_89,1,1,1,Civil Rights
105,95,120,146,22,25,1992,BRWhite,Kennedy,D,D,AScalia,Reagan,R,R,95_105,1,1,0,Civil Rights
110,106,77,108,16,24,2002,AMKennedy,Reagan,R,R,SGBreyer,Clinton,D,D,106_110,1,1,0,Civil Rights
92,90,200,208,34,34,1962,EWarren,Eisenhower,R,R,WJBrennan,Eisenhower,R,D,90_92,1,1,-1,Civil Rights
103,100,135,152,25,27,1991,HABlackmun,Nixon,R,R,JPStevens,Ford,R,R,100_103,1,1,-1,Civil Rights
88,81,70,114,12,14,1950,WODouglas,FDR,D,D,TCClark,Truman,D,D,81_88,1,1,1,Civil Rights
109,106,63,94,17,25,2008,AMKennedy,Reagan,R,R,RBGinsburg,Clinton,D,D,106_109,1,2,0,Civil Rights
101,94,131,160,35,41,1978,PStewart,Eisenhower,R,R,LFPowell,Nixon,R,D,94_101,1,1,-1,Civil Rights
107,104,79,105,15,17,1993,SDOConnor,Reagan,R,R,DHSouter,Bush,R,R,104_107,1,1,-1,Civil Rights
93,88,36,46,7,8,1956,TCClark,Truman,D,D,CEWhittaker,Eisenhower,R,R,88_93,1,1,0,Civil Rights
113,111,65,83,8,10,2013,JGRoberts,WBush,R,R,SSotomayor,Obama,D,I,111_113,1,1,0,Civil Rights
92,81,179,229,44,47,1972,WODouglas,FDR,D,D,WJBrennan,Eisenhower,R,D,81_92,2,2,0,Civil Rights
107,103,89,107,14,17,1993,JPStevens,Ford,R,R,DHSouter,Bush,R,R,103_107,1,1,-1,Civil Rights
86,82,83,150,18,24,1947,FMurphy,FDR,D,D,HHBurton,Truman,D,R,82_86,2,1,1,Civil Rights
88,84,84,112,8,13,1950,RHJackson,FDR,D,D,TCClark,Truman,D,D,84_88,1,1,1,Civil Rights
99,95,185,222,36,47,1975,BRWhite,Kennedy,D,D,WEBurger,Nixon,R,R,95_99,1,1,0,Civil Rights
88,78,146,222,30,53,1963,HLBlack,FDR,D,D,TCClark,Truman,D,D,78_88,1,1,1,Civil Rights
102,100,137,198,19,33,1987,HABlackmun,Nixon,R,R,WHRehnquist,Nixon,R,R,100_102,1,1,-1,Civil Rights
85,81,135,179,4,8,1946,WODouglas,FDR,D,D,WBRutledge,FDR,D,D,81_85,1,1,1,Civil Rights
109,106,84,111,11,12,2009,AMKennedy,Reagan,R,R,RBGinsburg,Clinton,D,D,106_109,2,1,0,Civil Rights
90,78,126,162,15,23,1965,HLBlack,FDR,D,D,EWarren,Eisenhower,R,R,78_90,1,1,0,Civil Rights
109,105,57,92,8,15,2004,AScalia,Reagan,R,R,RBGinsburg,Clinton,D,D,105_109,1,1,0,Civil Rights
98,95,152,198,30,39,1974,BRWhite,Kennedy,D,D,TMarshall,LBJ,D,D,95_98,1,1,1,Civil Rights
86,79,94,116,10,14,1954,SFReed,FDR,D,D,HHBurton,Truman,D,R,79_86,1,1,1,Civil Rights
106,105,62,84,7,8,2006,AScalia,Reagan,R,R,AMKennedy,Reagan,R,R,105_106,2,2,-1,Civil Rights
81,78,120,151,22,24,1947,HLBlack,FDR,D,D,WODouglas,FDR,D,D,78_81,2,2,1,Civil Rights
109,103,81,94,24,25,2008,JPStevens,Ford,R,R,RBGinsburg,Clinton,D,D,103_109,2,2,0,Civil Rights
107,105,67,93,11,13,2005,AScalia,Reagan,R,R,DHSouter,Bush,R,R,105_107,1,1,-1,Civil Rights
92,78,138,175,18,21,1960,HLBlack,FDR,D,D,WJBrennan,Eisenhower,R,D,78_92,2,2,0,Civil Rights
102,95,163,204,22,33,1982,BRWhite,Kennedy,D,D,WHRehnquist,Nixon,R,R,95_102,1,1,0,Civil Rights
98,78,109,160,19,32,1968,HLBlack,FDR,D,D,TMarshall,LBJ,D,D,78_98,1,1,1,Civil Rights
100,98,156,208,39,49,1981,TMarshall,LBJ,D,D,HABlackmun,Nixon,R,R,98_100,1,1,0,Civil Rights
104,102,71,91,11,15,2001,WHRehnquist,Nixon,R,R,SDOConnor,Reagan,R,R,102_104,2,2,-1,Civil Rights
95,92,128,165,22,28,1966,WJBrennan,Eisenhower,R,D,BRWhite,Kennedy,D,D,92_95,1,1,0,Civil Rights
110,107,100,110,17,17,1995,DHSouter,Bush,R,R,SGBreyer,Clinton,D,D,107_110,1,1,0,Civil Rights
106,100,118,181,2,11,1989,HABlackmun,Nixon,R,R,AMKennedy,Reagan,R,R,100_106,2,1,-1,Civil Rights
81,80,78,169,11,21,1960,FFrankfurter,FDR,D,I,WODouglas,FDR,D,D,80_81,1,2,1,Civil Rights
87,86,149,178,13,14,1948,HHBurton,Truman,D,R,FMVinson,Truman,D,D,86_87,1,1,1,Civil Rights
91,81,72,149,8,16,1956,WODouglas,FDR,D,D,JHarlan2,Eisenhower,R,R,81_91,2,1,0,Civil Rights
105,103,41,85,4,8,2006,JPStevens,Ford,R,R,AScalia,Reagan,R,R,103_105,1,2,-1,Civil Rights
81,78,140,175,13,14,1948,HLBlack,FDR,D,D,WODouglas,FDR,D,D,78_81,2,2,1,Civil Rights
101,81,56,121,8,14,1971,WODouglas,FDR,D,D,LFPowell,Nixon,R,D,81_101,2,1,0,Civil Rights
106,100,93,143,9,19,1990,HABlackmun,Nixon,R,R,AMKennedy,Reagan,R,R,100_106,2,1,-1,Civil Rights
92,78,121,152,16,17,1961,HLBlack,FDR,D,D,WJBrennan,Eisenhower,R,D,78_92,1,1,0,Civil Rights
102,100,111,182,3,12,1989,HABlackmun,Nixon,R,R,WHRehnquist,Nixon,R,R,100_102,2,1,-1,Civil Rights
107,105,46,84,4,8,2006,AScalia,Reagan,R,R,DHSouter,Bush,R,R,105_107,2,1,-1,Civil Rights
112,106,79,94,21,25,2008,AMKennedy,Reagan,R,R,SAAlito,WBush,R,R,106_112,1,1,-1,Civil Rights
103,98,129,193,22,36,1979,TMarshall,LBJ,D,D,JPStevens,Ford,R,R,98_103,1,1,0,Civil Rights
80,78,84,141,11,17,1956,HLBlack,FDR,D,D,FFrankfurter,FDR,D,I,78_80,2,1,1,Civil Rights
103,95,133,203,23,33,1982,BRWhite,Kennedy,D,D,JPStevens,Ford,R,R,95_103,1,1,0,Civil Rights
99,95,142,176,28,35,1970,BRWhite,Kennedy,D,D,WEBurger,Nixon,R,R,95_99,1,1,0,Civil Rights
98,95,162,225,41,55,1976,BRWhite,Kennedy,D,D,TMarshall,LBJ,D,D,95_98,1,1,1,Civil Rights
107,104,85,110,17,24,1996,SDOConnor,Reagan,R,R,DHSouter,Bush,R,R,104_107,1,1,-1,Civil Rights
104,92,122,217,26,36,1983,WJBrennan,Eisenhower,R,D,SDOConnor,Reagan,R,R,92_104,1,1,-1,Civil Rights
99,81,91,172,14,39,1969,WODouglas,FDR,D,D,WEBurger,Nixon,R,R,81_99,1,1,0,Civil Rights
91,78,106,170,21,38,1969,HLBlack,FDR,D,D,JHarlan2,Eisenhower,R,R,78_91,1,1,0,Civil Rights
100,99,162,177,33,35,1970,WEBurger,Nixon,R,R,HABlackmun,Nixon,R,R,99_100,1,1,-1,Civil Rights
91,86,3,4,3,3,1958,HHBurton,Truman,D,R,JHarlan2,Eisenhower,R,R,86_91,1,2,0,Civil Rights
100,95,186,229,44,53,1973,BRWhite,Kennedy,D,D,HABlackmun,Nixon,R,R,95_100,1,1,0,Civil Rights
82,79,124,175,6,9,1946,SFReed,FDR,D,D,FMurphy,FDR,D,D,79_82,1,1,1,Civil Rights
103,98,129,192,21,39,1980,TMarshall,LBJ,D,D,JPStevens,Ford,R,R,98_103,1,1,0,Civil Rights
110,103,77,101,12,15,1994,JPStevens,Ford,R,R,SGBreyer,Clinton,D,D,103_110,1,1,0,Civil Rights
99,95,145,192,28,47,1978,BRWhite,Kennedy,D,D,WEBurger,Nixon,R,R,95_99,1,1,0,Civil Rights
89,80,56,101,6,9,1951,FFrankfurter,FDR,D,I,SMinton,Truman,D,D,80_89,1,1,1,Civil Rights
89,79,108,134,14,17,1950,SFReed,FDR,D,D,SMinton,Truman,D,D,79_89,1,1,1,Civil Rights
99,92,133,202,21,33,1982,WJBrennan,Eisenhower,R,D,WEBurger,Nixon,R,R,92_99,1,1,-1,Civil Rights
103,95,149,218,30,36,1983,BRWhite,Kennedy,D,D,JPStevens,Ford,R,R,95_103,1,1,0,Civil Rights
91,88,132,174,16,24,1965,TCClark,Truman,D,D,JHarlan2,Eisenhower,R,R,88_91,1,1,0,Civil Rights
95,81,111,173,26,39,1969,WODouglas,FDR,D,D,BRWhite,Kennedy,D,D,81_95,1,1,1,Civil Rights
98,92,189,200,33,34,1987,WJBrennan,Eisenhower,R,D,TMarshall,LBJ,D,D,92_98,1,1,0,Civil Rights
95,91,12,24,2,6,1961,JHarlan2,Eisenhower,R,R,BRWhite,Kennedy,D,D,91_95,1,1,0,Civil Rights
109,106,68,84,8,10,2013,AMKennedy,Reagan,R,R,RBGinsburg,Clinton,D,D,106_109,1,1,0,Civil Rights
113,105,63,83,7,10,2013,AScalia,Reagan,R,R,SSotomayor,Obama,D,I,105_113,1,1,0,Civil Rights
107,105,55,94,15,25,2008,AScalia,Reagan,R,R,DHSouter,Bush,R,R,105_107,1,2,-1,Civil Rights
107,106,60,84,5,8,2006,AMKennedy,Reagan,R,R,DHSouter,Bush,R,R,106_107,2,1,-1,Civil Rights
102,95,180,217,27,36,1985,BRWhite,Kennedy,D,D,WHRehnquist,Nixon,R,R,95_102,1,1,0,Civil Rights
103,102,121,208,21,36,1979,WHRehnquist,Nixon,R,R,JPStevens,Ford,R,R,102_103,1,1,-1,Civil Rights
99,95,168,206,28,36,1979,BRWhite,Kennedy,D,D,WEBurger,Nixon,R,R,95_99,1,1,0,Civil Rights
86,81,93,176,5,14,1948,WODouglas,FDR,D,D,HHBurton,Truman,D,R,81_86,2,1,1,Civil Rights
107,104,86,110,28,29,1998,SDOConnor,Reagan,R,R,DHSouter,Bush,R,R,104_107,1,1,-1,Civil Rights
95,92,144,175,28,39,1969,WJBrennan,Eisenhower,R,D,BRWhite,Kennedy,D,D,92_95,1,1,0,Civil Rights
101,100,177,215,27,33,1983,HABlackmun,Nixon,R,R,LFPowell,Nixon,R,D,100_101,1,1,-1,Civil Rights
109,106,61,77,13,15,2014,AMKennedy,Reagan,R,R,RBGinsburg,Clinton,D,D,106_109,1,1,0,Civil Rights
98,95,127,153,25,34,1969,BRWhite,Kennedy,D,D,TMarshall,LBJ,D,D,95_98,1,1,1,Civil Rights
104,92,120,213,17,36,1985,WJBrennan,Eisenhower,R,D,SDOConnor,Reagan,R,R,92_104,2,1,-1,Civil Rights
108,106,66,88,9,12,2012,AMKennedy,Reagan,R,R,CThomas,Bush,R,R,106_108,1,1,-1,Civil Rights
100,95,182,219,37,47,1975,BRWhite,Kennedy,D,D,HABlackmun,Nixon,R,R,95_100,1,1,0,Civil Rights
90,81,142,162,13,13,1958,WODouglas,FDR,D,D,EWarren,Eisenhower,R,R,81_90,1,1,0,Civil Rights
89,84,70,107,9,11,1949,RHJackson,FDR,D,D,SMinton,Truman,D,D,84_89,1,1,1,Civil Rights
101,92,114,164,26,36,1977,WJBrennan,Eisenhower,R,D,LFPowell,Nixon,R,D,92_101,1,1,-1,Civil Rights
102,92,100,242,6,33,1986,WJBrennan,Eisenhower,R,D,WHRehnquist,Nixon,R,R,92_102,2,1,-1,Civil Rights
103,102,122,190,28,38,1980,WHRehnquist,Nixon,R,R,JPStevens,Ford,R,R,102_103,1,1,-1,Civil Rights
91,81,72,163,10,19,1959,WODouglas,FDR,D,D,JHarlan2,Eisenhower,R,R,81_91,2,1,0,Civil Rights
92,90,169,181,29,34,1968,EWarren,Eisenhower,R,R,WJBrennan,Eisenhower,R,D,90_92,1,1,-1,Civil Rights
110,102,54,80,7,12,2004,WHRehnquist,Nixon,R,R,SGBreyer,Clinton,D,D,102_110,1,1,0,Civil Rights
80,79,137,186,1,9,1946,SFReed,FDR,D,D,FFrankfurter,FDR,D,I,79_80,1,1,1,Civil Rights
104,103,142,205,32,48,1981,JPStevens,Ford,R,R,SDOConnor,Reagan,R,R,103_104,1,1,-1,Civil Rights
87,85,95,148,15,22,1947,WBRutledge,FDR,D,D,FMVinson,Truman,D,D,85_87,2,1,1,Civil Rights
99,98,117,201,15,31,1982,TMarshall,LBJ,D,D,WEBurger,Nixon,R,R,98_99,1,1,0,Civil Rights
109,106,66,82,10,12,2015,AMKennedy,Reagan,R,R,RBGinsburg,Clinton,D,D,106_109,1,1,0,Civil Rights
110,105,78,111,10,17,1995,AScalia,Reagan,R,R,SGBreyer,Clinton,D,D,105_110,1,1,0,Civil Rights
86,81,22,30,4,4,1949,WODouglas,FDR,D,D,HHBurton,Truman,D,R,81_86,1,1,1,Civil Rights
95,94,170,226,40,52,1973,PStewart,Eisenhower,R,R,BRWhite,Kennedy,D,D,94_95,1,1,0,Civil Rights
87,79,152,175,14,14,1948,SFReed,FDR,D,D,FMVinson,Truman,D,D,79_87,1,1,1,Civil Rights
